"item","factor1","factor2","R0","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","CompQuestion","CorrectAns"
"3c","match","nocc","___ _____ ____ ___ _______ ______ ____ ______ ____ _______ __ ___ _____ _ _____ __ ________ ___ ____ ____ ________","The queen ____ ___ _______ ______ ____ ______ ____ _______ __ ___ _____ _ _____ __ ________ ___ ____ ____ ________","___ _____ left the castle. ______ ____ ______ ____ _______ __ ___ _____ _ _____ __ ________ ___ ____ ____ ________","___ _____ ____ ___ _______ Before ____ ______ ____ _______ __ ___ _____ _ _____ __ ________ ___ ____ ____ ________","___ _____ ____ ___ _______ ______ each prince ____ _______ __ ___ _____ _ _____ __ ________ ___ ____ ____ ________","___ _____ ____ ___ _______ ______ ____ ______ went hunting __ ___ _____ _ _____ __ ________ ___ ____ ____ ________","___ _____ ____ ___ _______ ______ ____ ______ ____ _______ in the woods _ _____ __ ________ ___ ____ ____ ________","___ _____ ____ ___ _______ ______ ____ ______ ____ _______ __ ___ _____ I heard he ________ ___ ____ ____ ________","___ _____ ____ ___ _______ ______ ____ ______ ____ _______ __ ___ _____ _ _____ __ poisoned ___ ____ ____ ________","___ _____ ____ ___ _______ ______ ____ ______ ____ _______ __ ___ _____ _ _____ __ ________ the food ____ ________","___ _____ ____ ___ _______ ______ ____ ______ ____ _______ __ ___ _____ _ _____ __ ________ ___ ____ with cyanide.","Did Mary wash the dishes?","y"
"3d","match","cc","___ _____ ____ ___ _______ _ _____ ____ ______ ____ _______ __ ___ _____ _____ __ ________ ___ ____ ____ ________","The queen ____ ___ _______ _ _____ ____ ______ ____ _______ __ ___ _____ _____ __ ________ ___ ____ ____ ________","___ _____ left the castle. _ _____ ____ ______ ____ _______ __ ___ _____ _____ __ ________ ___ ____ ____ ________","___ _____ ____ ___ _______ I heard ____ ______ ____ _______ __ ___ _____ _____ __ ________ ___ ____ ____ ________","___ _____ ____ ___ _______ _ _____ each prince ____ _______ __ ___ _____ _____ __ ________ ___ ____ ____ ________","___ _____ ____ ___ _______ _ _____ ____ ______ went hunting __ ___ _____ _____ __ ________ ___ ____ ____ ________","___ _____ ____ ___ _______ _ _____ ____ ______ ____ _______ in the woods _____ __ ________ ___ ____ ____ ________","___ _____ ____ ___ _______ _ _____ ____ ______ ____ _______ __ ___ _____ after he ________ ___ ____ ____ ________","___ _____ ____ ___ _______ _ _____ ____ ______ ____ _______ __ ___ _____ _____ __ poisoned ___ ____ ____ ________","___ _____ ____ ___ _______ _ _____ ____ ______ ____ _______ __ ___ _____ _____ __ ________ the food ____ ________","___ _____ ____ ___ _______ _ _____ ____ ______ ____ _______ __ ___ _____ _____ __ ________ ___ ____ with cyanide.","Did Mary wash the dishes?","n"
"4a","mismatch","nocc","_ _____ __ _______ _____ ____ _________ ___ __ ____ ________ __ _______ ___ ____________ ___ _____ _____ __ ___ _____","I spoke __ _______ _____ ____ _________ ___ __ ____ ________ __ _______ ___ ____________ ___ _____ _____ __ ___ _____","_ _____ to Amanda. _____ ____ _________ ___ __ ____ ________ __ _______ ___ ____________ ___ _____ _____ __ ___ _____","_ _____ __ _______ Since ____ _________ ___ __ ____ ________ __ _______ ___ ____________ ___ _____ _____ __ ___ _____","_ _____ __ _______ _____ each policeman ___ __ ____ ________ __ _______ ___ ____________ ___ _____ _____ __ ___ _____","_ _____ __ _______ _____ ____ _________ was on duty ________ __ _______ ___ ____________ ___ _____ _____ __ ___ _____","_ _____ __ _______ _____ ____ _________ ___ __ ____ downtown __ _______ ___ ____________ ___ _____ _____ __ ___ _____","_ _____ __ _______ _____ ____ _________ ___ __ ____ ________ it appears she ____________ ___ _____ _____ __ ___ _____","_ _____ __ _______ _____ ____ _________ ___ __ ____ ________ __ _______ ___ investigated the _____ _____ __ ___ _____","_ _____ __ _______ _____ ____ _________ ___ __ ____ ________ __ _______ ___ ____________ ___ crime scene __ ___ _____","_ _____ __ _______ _____ ____ _________ ___ __ ____ ________ __ _______ ___ ____________ ___ _____ _____ in the dark.","Did Mary wash the dishes?","n"
"4b","mismatch","cc","_ _____ __ _______ __ _______ ____ _________ ___ __ ____ _________ _____ ___ ____________ ___ _____ _____ __ ___ _____","I spoke __ _______ __ _______ ____ _________ ___ __ ____ _________ _____ ___ ____________ ___ _____ _____ __ ___ _____","_ _____ to Amanda. __ _______ ____ _________ ___ __ ____ _________ _____ ___ ____________ ___ _____ _____ __ ___ _____","_ _____ __ _______ It appears ____ _________ ___ __ ____ _________ _____ ___ ____________ ___ _____ _____ __ ___ _____","_ _____ __ _______ __ _______ each policeman ___ __ ____ _________ _____ ___ ____________ ___ _____ _____ __ ___ _____","_ _____ __ _______ __ _______ ____ _________ was on duty -downtown _____ ___ ____________ ___ _____ _____ __ ___ _____","_ _____ __ _______ __ _______ ____ _________ ___ __ ____ _________ since she ____________ ___ _____ _____ __ ___ _____","_ _____ __ _______ __ _______ ____ _________ ___ __ ____ _________ _____ ___ investigated the _____ _____ __ ___ _____","_ _____ __ _______ __ _______ ____ _________ ___ __ ____ _________ _____ ___ ____________ ___ crime scene __ ___ _____","_ _____ __ _______ __ _______ ____ _________ ___ __ ____ _________ _____ ___ ____________ ___ _____ _____ in the dark.","","Did Mary wash the dishes?","y"
"4c","match","nocc","_ _____ __ _______ _____ ____ _________ ___ __ ____ ________ __ _______ __ ____________ ___ _____ _____ __ ___ _____","I spoke __ _______ _____ ____ _________ ___ __ ____ ________ __ _______ __ ____________ ___ _____ _____ __ ___ _____","_ _____ to Amanda. _____ ____ _________ ___ __ ____ ________ __ _______ __ ____________ ___ _____ _____ __ ___ _____","_ _____ __ _______ Since ____ _________ ___ __ ____ ________ __ _______ __ ____________ ___ _____ _____ __ ___ _____","_ _____ __ _______ _____ each policeman ___ __ ____ ________ __ _______ __ ____________ ___ _____ _____ __ ___ _____","_ _____ __ _______ _____ ____ _________ was on duty ________ __ _______ __ ____________ ___ _____ _____ __ ___ _____","_ _____ __ _______ _____ ____ _________ ___ __ ____ downtown __ _______ __ ____________ ___ _____ _____ __ ___ _____","_ _____ __ _______ _____ ____ _________ ___ __ ____ ________ it appears he ____________ ___ _____ _____ __ ___ _____","_ _____ __ _______ _____ ____ _________ ___ __ ____ ________ __ _______ __ investigated the _____ _____ __ ___ _____","_ _____ __ _______ _____ ____ _________ ___ __ ____ ________ __ _______ __ ____________ ___ crime scene __ ___ _____","_ _____ __ _______ _____ ____ _________ ___ __ ____ ________ __ _______ __ ____________ ___ _____ _____ in the dark.","Did Mary wash the dishes?","n"
"4d","match","cc","_ _____ __ _______ __ _______ ____ _________ ___ __ ____ _________ _____ __ ____________ ___ _____ _____ __ ___ _____","I spoke __ _______ __ _______ ____ _________ ___ __ ____ _________ _____ __ ____________ ___ _____ _____ __ ___ _____","_ _____ to Amanda. __ _______ ____ _________ ___ __ ____ _________ _____ __ ____________ ___ _____ _____ __ ___ _____","_ _____ __ _______ It appears ____ _________ ___ __ ____ _________ _____ __ ____________ ___ _____ _____ __ ___ _____","_ _____ __ _______ __ _______ each policeman ___ __ ____ _________ _____ __ ____________ ___ _____ _____ __ ___ _____","_ _____ __ _______ __ _______ ____ _________ was on duty -downtown _____ __ ____________ ___ _____ _____ __ ___ _____","_ _____ __ _______ __ _______ ____ _________ ___ __ ____ _________ since he ____________ ___ _____ _____ __ ___ _____","_ _____ __ _______ __ _______ ____ _________ ___ __ ____ _________ _____ __ investigated the _____ _____ __ ___ _____","_ _____ __ _______ __ _______ ____ _________ ___ __ ____ _________ _____ __ ____________ ___ crime scene __ ___ _____","_ _____ __ _______ __ _______ ____ _________ ___ __ ____ _________ _____ __ ____________ ___ _____ _____ in the dark.","","Did Mary wash the dishes?","y"
"5a","mismatch","nocc","____ ____ __ _____ ___ __________ _____  ____ _____ ___ _______ _____ ______ __ _____ __ _______ __ ___ _________ ____ _______ ______","Fred told us _____ ___ __________ _____  ____ _____ ___ _______ _____ ______ __ _____ __ _______ __ ___ _________ ____ _______ ______","____ ____ __ about the emergency. _____  ____ _____ ___ _______ _____ ______ __ _____ __ _______ __ ___ _________ ____ _______ ______","____ ____ __ _____ ___ __________ Since  ____ _____ ___ _______ _____ ______ __ _____ __ _______ __ ___ _________ ____ _______ ______","____ ____ __ _____ ___ __________ _____  each nurse ___ _______ _____ ______ __ _____ __ _______ __ ___ _________ ____ _______ ______","____ ____ __ _____ ___ __________ _____  ____ _____ was worried _____ ______ __ _____ __ _______ __ ___ _________ ____ _______ ______","____ ____ __ _____ ___ __________ _____  ____ _____ ___ _______ about safety __ _____ __ _______ __ ___ _________ ____ _______ ______","____ ____ __ _____ ___ __________ _____  ____ _____ ___ _______ _____ ______ it seems he _______ __ ___ _________ ____ _______ ______","____ ____ __ _____ ___ __________ _____  ____ _____ ___ _______ _____ ______ __ _____ __ checked on ___ _________ ____ _______ ______","____ ____ __ _____ ___ __________ _____  ____ _____ ___ _______ _____ ______ __ _____ __ _______ __ the operating room _______ ______","____ ____ __ _____ ___ __________ _____  ____ _____ ___ _______ _____ ______ __ _____ __ _______ __ ___ _________ ____ several times.","Did Mary wash the dishes?","y"
"5b","mismatch","cc","____ ____ __ _____ ___ __________ __ _____ ____ _____ ___ _______ _____ ______ _____ __ _______ __ ___ _________ ____ _______ ______","Fred told us _____ ___ __________ __ _____ ____ _____ ___ _______ _____ ______ _____ __ _______ __ ___ _________ ____ _______ ______","____ ____ __ about the emergency. __ _____ ____ _____ ___ _______ _____ ______ _____ __ _______ __ ___ _________ ____ _______ ______","____ ____ __ _____ ___ __________ It seems ____ _____ ___ _______ _____ ______ _____ __ _______ __ ___ _________ ____ _______ ______","____ ____ __ _____ ___ __________ __ _____ each nurse ___ _______ _____ ______ _____ __ _______ __ ___ _________ ____ _______ ______","____ ____ __ _____ ___ __________ __ _____ ____ _____ was worried _____ ______ _____ __ _______ __ ___ _________ ____ _______ ______","____ ____ __ _____ ___ __________ __ _____ ____ _____ ___ _______ about safety _____ __ _______ __ ___ _________ ____ _______ ______","____ ____ __ _____ ___ __________ __ _____ ____ _____ ___ _______ _____ ______ since he _______ __ ___ _________ ____ _______ ______","____ ____ __ _____ ___ __________ __ _____ ____ _____ ___ _______ _____ ______ _____ __ checked on ___ _________ ____ _______ ______","____ ____ __ _____ ___ __________ __ _____ ____ _____ ___ _______ _____ ______ _____ __ _______ __ the operating room _______ ______","____ ____ __ _____ ___ __________ __ _____ ____ _____ ___ _______ _____ ______ _____ __ _______ __ ___ _________ ____ several times.","Did Mary wash the dishes?","n"
"5c","match","nocc","____ ____ __ _____ ___ __________ _____  ____ _____ ___ _______ _____ ______ __ _____ ___ _______ __ ___ _________ ____ _______ ______","Fred told us _____ ___ __________ _____  ____ _____ ___ _______ _____ ______ __ _____ ___ _______ __ ___ _________ ____ _______ ______","____ ____ __ about the emergency. _____  ____ _____ ___ _______ _____ ______ __ _____ ___ _______ __ ___ _________ ____ _______ ______","____ ____ __ _____ ___ __________ Since  ____ _____ ___ _______ _____ ______ __ _____ ___ _______ __ ___ _________ ____ _______ ______","____ ____ __ _____ ___ __________ _____  each nurse ___ _______ _____ ______ __ _____ ___ _______ __ ___ _________ ____ _______ ______","____ ____ __ _____ ___ __________ _____  ____ _____ was worried _____ ______ __ _____ ___ _______ __ ___ _________ ____ _______ ______","____ ____ __ _____ ___ __________ _____  ____ _____ ___ _______ about safety __ _____ ___ _______ __ ___ _________ ____ _______ ______","____ ____ __ _____ ___ __________ _____  ____ _____ ___ _______ _____ ______ it seems she _______ __ ___ _________ ____ _______ ______","____ ____ __ _____ ___ __________ _____  ____ _____ ___ _______ _____ ______ __ _____ ___ checked on ___ _________ ____ _______ ______","____ ____ __ _____ ___ __________ _____  ____ _____ ___ _______ _____ ______ __ _____ ___ _______ __ the operating room _______ ______","____ ____ __ _____ ___ __________ _____  ____ _____ ___ _______ _____ ______ __ _____ ___ _______ __ ___ _________ ____ several times.","Did Mary wash the dishes?","y"
"5d","match","cc","____ ____ __ _____ ___ __________ __ _____ ____ _____ ___ _______ _____ ______ _____ ___ _______ __ ___ _________ ____ _______ ______","Fred told us _____ ___ __________ __ _____ ____ _____ ___ _______ _____ ______ _____ ___ _______ __ ___ _________ ____ _______ ______","____ ____ __ about the emergency. __ _____ ____ _____ ___ _______ _____ ______ _____ ___ _______ __ ___ _________ ____ _______ ______","____ ____ __ _____ ___ __________ It seems ____ _____ ___ _______ _____ ______ _____ ___ _______ __ ___ _________ ____ _______ ______","____ ____ __ _____ ___ __________ __ _____ each nurse ___ _______ _____ ______ _____ ___ _______ __ ___ _________ ____ _______ ______","____ ____ __ _____ ___ __________ __ _____ ____ _____ was worried _____ ______ _____ ___ _______ __ ___ _________ ____ _______ ______","____ ____ __ _____ ___ __________ __ _____ ____ _____ ___ _______ about safety _____ ___ _______ __ ___ _________ ____ _______ ______","____ ____ __ _____ ___ __________ __ _____ ____ _____ ___ _______ _____ ______ since she _______ __ ___ _________ ____ _______ ______","____ ____ __ _____ ___ __________ __ _____ ____ _____ ___ _______ _____ ______ _____ ___ checked on ___ _________ ____ _______ ______","____ ____ __ _____ ___ __________ __ _____ ____ _____ ___ _______ _____ ______ _____ ___ _______ __ the operating room _______ ______","____ ____ __ _____ ___ __________ __ _____ ____ _____ ___ _______ _____ ______ _____ ___ _______ __ ___ _________ ____ several times.","Did Mary wash the dishes?","n"
"6a","mismatch","nocc","______ ___ __ ___ ________ ______ ____ _______ ___ ___ ____ __ _____ ___ ____ __ _____ ___ ______ ___  ______ __ ____ ________","Leslie was __ ___ ________ ______ ____ _______ ___ ___ ____ __ _____ ___ ____ __ _____ ___ ______ ___  ______ __ ____ ________","______ ___ at the station. ______ ____ _______ ___ ___ ____ __ _____ ___ ____ __ _____ ___ ______ ___  ______ __ ____ ________","______ ___ __ ___ ________ Before ____ _______ ___ ___ ____ __ _____ ___ ____ __ _____ ___ ______ ___  ______ __ ____ ________","______ ___ __ ___ ________ ______ each fireman ___ ___ ____ __ _____ ___ ____ __ _____ ___ ______ ___  ______ __ ____ ________","______ ___ __ ___ ________ ______ ____ _______ was too weak __ _____ ___ ____ __ _____ ___ ______ ___  ______ __ ____ ________","______ ___ __ ___ ________ ______ ____ _______ ___ ___ ____ to carry the hose __ _____ ___ ______ ___  ______ __ ____ ________","______ ___ __ ___ ________ ______ ____ _______ ___ ___ ____ __ _____ ___ ____ it seems she ______ ___  ______ __ ____ ________","______ ___ __ ___ ________ ______ ____ _______ ___ ___ ____ __ _____ ___ ____ __ _____ ___ called for  ______ __ ____ ________","______ ___ __ ___ ________ ______ ____ _______ ___ ___ ____ __ _____ ___ ____ __ _____ ___ ______ ___  backup to help ________","______ ___ __ ___ ________ ______ ____ _______ ___ ___ ____ __ _____ ___ ____ __ _____ ___ ______ ___  ______ __ ____ quickly.","Did Mary wash the dishes?","n"
